"transect_id";"transect_longitude";"transect_latitude";"TotalA"
"1";"ES_uBMS_Aig";2.16496442;41.41307051;0.38
"2";"ES_uBMS_Bes";2.230678967;41.42118516;33.76
"3";"ES_uBMS_Bros";2.166716777;41.36822391;68.72
"4";"ES_uBMS_Car";2.153217092;41.41795907;14.54
"5";"ES_uBMS_Cer";2.105297633;41.38415769;9.39
"6";"ES_uBMS_Ciu";2.186112877;41.38839016;21.84
"7";"ES_uBMS_Clot";2.190657965;41.40857058;3.51
"8";"ES_uBMS_Coll";2.145786421;41.41978776;12.39
"9";"ES_uBMS_Dia";2.213590704;41.40791305;6.04
"10";"ES_uBMS_Gau";2.173980395;41.40325067;1.35
"11";"ES_uBMS_Glo";2.186062991;41.40420528;3
"12";"ES_uBMS_Gue";2.152087207;41.41572421;22.6
"13";"ES_uBMS_Gui";2.16856506;41.42180285;26.16
"14";"ES_uBMS_Heb";2.147039917;41.43208223;2.86
"15";"ES_uBMS_Heu";2.141495886;41.43624802;6.71
"16";"ES_uBMS_Lab";2.145055696;41.44023428;8.52
"17";"ES_uBMS_Mar";2.155717007;41.3679009;30.11
"18";"ES_uBMS_Mat";2.12438356;41.38358629;5.52
"19";"ES_uBMS_Nord";2.183828952;41.39346712;4.58
"20";"ES_uBMS_Nou";2.200510595;41.40743215;2.08
"21";"ES_uBMS_Ore";2.110890337;41.3988472;13.83
"22";"ES_uBMS_Ped";2.117901551;41.38734117;7.14
"23";"ES_uBMS_Peg";2.189513722;41.42704114;2.83
"24";"ES_uBMS_Pei";2.165552897;41.43314276;7.25
"25";"ES_uBMS_Pla";2.170574996;41.4150665;3.69
"26";"ES_uBMS_Put";2.142135741;41.40903171;10.06
"27";"ES_uBMS_Rob";2.158937419;41.39579147;0.49
"28";"ES_uBMS_Tpa";2.140685125;41.39476121;2.88
"29";"ES_uBMS_Tri";2.195871097;41.44927812;5.27
