transect_id	transect_longitude	transect_latitude
ES_uBMS_Cer	2.105297633	41.38415769
ES_uBMS_Gau	2.173980395	41.40325067
ES_uBMS_Lab	2.145055696	41.44023428
ES_uBMS_Rob	2.158937419	41.39579147
ES_uBMS_Ped	2.117901551	41.38734117
ES_uBMS_Bros	2.166716777	41.36822391
ES_uBMS_Mar	2.155717007	41.3679009
ES_uBMS_Mat	2.12438356	41.38358629
ES_uBMS_Peg	2.189513722	41.42704114
ES_uBMS_Pla	2.170574996	41.4150665
ES_uBMS_Dia	2.213590704	41.40791305
ES_uBMS_Ciu	2.186112877	41.38839016
ES_uBMS_Coll	2.145786421	41.41978776
ES_uBMS_Tri	2.195871097	41.44927812
ES_uBMS_Heb	2.147039917	41.43208223
ES_uBMS_Bes	2.230678967	41.42118516
ES_uBMS_Nou	2.200510595	41.40743215
ES_uBMS_Clot	2.190657965	41.40857058
ES_uBMS_Aig	2.16496442	41.41307051
ES_uBMS_Glo	2.186062991	41.40420528
ES_uBMS_Heu	2.141495886	41.43624802
ES_uBMS_Nord	2.183828952	41.39346712
ES_uBMS_Gui	2.16856506	41.42180285
ES_uBMS_Ore	2.110890337	41.3988472
ES_uBMS_Pei	2.165552897	41.43314276
ES_uBMS_Put	2.142135741	41.40903171
ES_uBMS_Gue	2.152087207	41.41572421
ES_uBMS_Car	2.153217092	41.41795907
ES_uBMS_Tpa	2.140685125	41.39476121
ES_uBMS_Art	-3.690570082	40.44014443
ES_uBMS_Ret	-3.686573832	40.41064937
ES_uBMS_Cap	-3.596574279	40.45675187
ES_uBMS_Pin	-3.722253281	40.47227233
ES_uBMS_Bio	-3.596814452	40.45246204
ES_uBMS_Alv	-3.746859997	40.3933036
ES_uBMS_Tio	-3.656171255	40.39583617
ES_uBMS_Ate	-3.717910328	40.41499025
ES_uBMS_Ber	-3.675483086	40.45112067
ES_uBMS_Vil	-3.72321563	40.45861461
ES_uBMS_Man	-3.661054441	40.40984202
ES_uBMS_Alm	-3.632362595	40.41972019
ES_uBMS_Ami	-3.691606693	40.34872521
ES_uBMS_Cam1	-3.766444278	40.40558417
ES_uBMS_Cam2	-3.742732628	40.41656739
ES_uBMS_Pes	-3.756313993	40.36487365
ES_uBMS_Qber	-3.660619468	40.42325815
ES_uBMS_Cru	-3.758292784	40.37739794
ES_uBMS_Oes	-3.72355724	40.43599444
ES_uBMS_Per	-3.732567707	40.47991624
ES_uBMS_PlaC	-3.718137052	40.34824672
ES_uBMS_Pra	-3.709747267	40.37571301
ES_uBMS_Ahu	-3.605864267	40.40478899
ES_uBMS_Ced	-3.665334693	40.46277422
ES_uBMS_Fel	-3.633818594	40.4898216
ES_uBMS_Vic	-3.594765629	40.4070753
ES_uBMS_Jua	-3.599917236	40.46225958
ES_uBMS_Fof	-3.660689248	40.38520661
ES_uBMS_Mol	-3.629577544	40.44588146
ES_uBMS_Sal	-3.65781039	40.43935595
ES_uBMS_Eug	-3.60925605	40.3814487
ES_uBMS_Jos	-3.766835347	40.36409559
