SPECIES	SITE_ID	YEAR	SINDEX	SCHEME
Anthocharis cardamines	Clot	2023	0	uBMS
Anthocharis cardamines	Clot	2024	0	uBMS
Anthocharis cardamines	Clot	2018	0	uBMS
Anthocharis cardamines	Clot	2025	0	uBMS
Anthocharis cardamines	Clot	2019	0	uBMS
Anthocharis cardamines	Clot	2020	0	uBMS
Anthocharis cardamines	Clot	2021	0	uBMS
Anthocharis cardamines	Clot	2022	0	uBMS
Anthocharis cardamines	Heb	2023	0	uBMS
Anthocharis cardamines	Heb	2024	0	uBMS
Anthocharis cardamines	Heb	2018	0	uBMS
Anthocharis cardamines	Heb	2019	0	uBMS
Anthocharis cardamines	Heb	2020	0	uBMS
Anthocharis cardamines	Heb	2021	0	uBMS
Anthocharis cardamines	Heb	2022	0	uBMS
Anthocharis cardamines	Put	2023	0	uBMS
Anthocharis cardamines	Put	2024	0	uBMS
Anthocharis cardamines	Put	2025	0	uBMS
Anthocharis cardamines	Put	2019	0	uBMS
Anthocharis cardamines	Put	2020	0	uBMS
Anthocharis cardamines	Put	2021	0	uBMS
Anthocharis cardamines	Put	2022	0	uBMS
Anthocharis cardamines	Heu	2023	0	uBMS
Anthocharis cardamines	Heu	2024	0	uBMS
Anthocharis cardamines	Heu	2018	0	uBMS
Anthocharis cardamines	Heu	2025	0	uBMS
Anthocharis cardamines	Heu	2019	0	uBMS
Anthocharis cardamines	Heu	2020	0	uBMS
Anthocharis cardamines	Heu	2021	0	uBMS
Anthocharis cardamines	Heu	2022	0	uBMS
Anthocharis cardamines	Lab	2023	0	uBMS
Anthocharis cardamines	Lab	2024	0	uBMS
Anthocharis cardamines	Lab	2018	0	uBMS
Anthocharis cardamines	Lab	2025	0	uBMS
Anthocharis cardamines	Lab	2020	0	uBMS
Anthocharis cardamines	Lab	2022	0	uBMS
Anthocharis cardamines	Mat	2023	0	uBMS
Anthocharis cardamines	Mat	2024	0	uBMS
Anthocharis cardamines	Mat	2018	0	uBMS
Anthocharis cardamines	Mat	2025	0	uBMS
Anthocharis cardamines	Mat	2019	0	uBMS
Anthocharis cardamines	Mat	2020	0	uBMS
Anthocharis cardamines	Mat	2021	0	uBMS
Anthocharis cardamines	Mat	2022	0	uBMS
Anthocharis cardamines	Ore	2023	0	uBMS
Anthocharis cardamines	Ore	2024	0	uBMS
Anthocharis cardamines	Ore	2018	0	uBMS
Anthocharis cardamines	Ore	2020	0	uBMS
Anthocharis cardamines	Ore	2021	0	uBMS
Anthocharis cardamines	Ore	2022	0	uBMS
Anthocharis cardamines	Pla	2023	0	uBMS
Anthocharis cardamines	Pla	2024	0	uBMS
Anthocharis cardamines	Pla	2025	0	uBMS
Anthocharis cardamines	Pla	2020	0	uBMS
Anthocharis cardamines	Pla	2021	0	uBMS
Anthocharis cardamines	Pla	2022	0	uBMS
Anthocharis cardamines	Ciu	2023	0	uBMS
Anthocharis cardamines	Ciu	2024	0	uBMS
Anthocharis cardamines	Ciu	2018	0	uBMS
Anthocharis cardamines	Ciu	2025	0	uBMS
Anthocharis cardamines	Ciu	2019	0	uBMS
Anthocharis cardamines	Ciu	2020	0	uBMS
Anthocharis cardamines	Ciu	2021	0	uBMS
Anthocharis cardamines	Ciu	2022	0	uBMS
Anthocharis cardamines	Glo	2023	0	uBMS
Anthocharis cardamines	Glo	2024	0	uBMS
Anthocharis cardamines	Glo	2025	0	uBMS
Anthocharis cardamines	Glo	2020	0	uBMS
Anthocharis cardamines	Glo	2021	0	uBMS
Anthocharis cardamines	Glo	2022	0	uBMS
Anthocharis cardamines	Rob	2023	0	uBMS
Anthocharis cardamines	Rob	2024	0	uBMS
Anthocharis cardamines	Rob	2018	0	uBMS
Anthocharis cardamines	Rob	2025	0	uBMS
Anthocharis cardamines	Rob	2020	0	uBMS
Anthocharis cardamines	Rob	2021	0	uBMS
Anthocharis cardamines	Rob	2022	0	uBMS
Anthocharis cardamines	Coll	2023	0	uBMS
Anthocharis cardamines	Coll	2024	0	uBMS
Anthocharis cardamines	Coll	2018	0	uBMS
Anthocharis cardamines	Coll	2025	0	uBMS
