Cluster;Scientific Name;SSI;HSI;Voltinism;Overwintering;STI;Mobility;TAO;;
3;Aglais io;0.748;1;Multivoltine;adult;8.839;D3;0.266;;
3;Aglais urticae;1.766;1;Multivoltine;adult;7.868;D3;0.453;;
3;Anthocharis cardamines;0.857;2;Univoltine;pupa;8.295;D3;-0.02;;
2;Anthocharis euphenoides;0.978;1;Univoltine;pupa;12.943;D2;0.109;;
2;Apatura ilia;1.435;2;Multivoltine;larva;9.032;D2;0.014;;
1;Aphantopus hyperantus;1.642;2;Univoltine;larva;7.898;D1;0.219;;
2;Aporia crataegi;1.108;2;Univoltine;larva;9.142;D2;0.452;;
3;Araschnia levana;1.223;1;Multivoltine;pupa;8.618;D2;-0.267;;
2;Arethusana arethusa;1.21;2;Univoltine;larva;10.634;D2;0.491;;
2;Argynnis adippe;1.105;1;Univoltine;larva;8.367;D2;0.324;;
1;Argynnis aglaja;1.347;1;Univoltine;larva;7.789;D2;0.345;;
1;Argynnis niobe;3.69;1;Univoltine;larva;8.503;D2;0.936;;
2;Argynnis pandora;1.466;1;Univoltine;larva;11.925;D3;0.615;;
2;Argynnis paphia;0.869;1;Univoltine;larva;9.018;D2;0.048;;
2;Aricia agestis;0.709;1;Multivoltine;larva;10.157;D2;0.541;;
4;Aricia cramera;0.873;3;Multivoltine;larva;14.276;D2;0.497;;
2;Boloria dia;1.041;1;Multivoltine;larva;9.282;D2;0.518;;
1;Boloria eunomia;1.973;1;Univoltine;larva;3.45;D2;0.365;;
1;Boloria selene;2.594;1;Univoltine;larva;6.93;D1;0.786;;
1;Brenthis daphne;1.042;1;Univoltine;egg;10.598;D1;0.178;;
1;Brenthis ino;2.324;1;Univoltine;egg;6.86;D1;0.974;;
2;Brintesia circe;0.86;2;Univoltine;larva;11.071;D2;0.432;;
4;Cacyreus marshalli;1.581;1;Multivoltine;none;14.128;D3;0.484;;
2;Callophrys avis;1.303;3;Univoltine;pupa;14.569;D1;0.316;;
2;Callophrys rubi;1.036;3;Univoltine;pupa;8.566;D1;0.363;;
2;Carcharodus alceae;1.004;2;Multivoltine;larva;11.142;D3;0.627;;
1;Carcharodus baeticus;2.545;2;Multivoltine;larva;13.123;D1;0.745;;
1;Carcharodus floccifera;1.906;1;Univoltine;larva;9.922;D1;0.648;;
2;Carcharodus lavatherae;1.062;2;Univoltine;larva;10.12;D1;0.146;;
3;Celastrina argiolus;0.755;3;Multivoltine;pupa;9.136;D3;0.062;;
3;Charaxes jasius;0.958;1;Multivoltine;larva;14.771;D3;0.213;;
1;Chazara briseis;2.376;2;Univoltine;larva;10.291;D1;0.638;;
2;Coenonympha arcania;1.1;2;Univoltine;larva;9.044;D1;0.042;;
2;Coenonympha dorus;1.21;3;Univoltine;larva;12.671;D2;0.353;;
1;Coenonympha glycerion;1.654;2;Univoltine;larva;7.827;D1;0.674;;
2;Coenonympha pamphilus;0.952;2;Multivoltine;larva;8.961;D2;0.657;;
2;Colias alfacariensis;1.128;1;Multivoltine;larva;9.944;D2;0.542;;
4;Colias crocea;0.687;2;Multivoltine;none;10.691;D4;0.597;;
2;Cupido alcetas;1.082;2;Multivoltine;larva;10.806;D2;0.315;;
