SITE_ID	Type	Habitat_quality	OpenA	ClosedA	TotalA	C200	C500	C1k	C3_m2	PratUrb_m2	Herbassar_m2	Vivaces_m2	ZINh_m2	ZINll_m2	ZINA_m2	C3ha	PUha	HERbha	VIVha	ZINHha	ZINLha	ZINAha
Car	BIO	2.55	7.72	5.77	14.54	10.93	24.69	46.26	0	0	0	0	59008.35	22204.08	19000.65	0	0	0	0	5.900835	2.220408	1.900065
Gue	BIO	2.27	5.2	16	22.6	9.83	19.64	40.14	0	0	0	120.43	0	14110.44	0	0	0	0	0.012043	0	1.411044	0
Pla	PATRIMONIAL	NA	0.738	2.952	3.69	9.87	18.5	35.13	0	267.65	574.99	0	0	0	2506.89	0	0.026765	0.057499	0	0	0	0.250689
Ore	BIO	2.83	6.43	7.78	13.83	12.04	22.12	34.56	20.51	8.32	17238.95	0	0	83151.32	29097.03	0.002051	0.000832	1.723895	0	0	8.315132	2.909703
Peg	USOS	1.83	1.47	1.36	2.83	0.45	0.53	0.98	37.15	0	0	0	0	0	0	0.003715	0	0	0	0	0	0
Aig	USOS	1.48	3.7	0.1	0.38	9.935	18.88	36.85	214.57	0	0	0	0	0	0	0.021457	0	0	0	0	0	0
Gui	BIO	2.62	8.01	17.94	26.16	10.04	18.12	33.56	478.28	1816.65	0	0	0	6951.87	9754.87	0.047828	0.181665	0	0	0	0.695187	0.975487
Put	PATRIMONIAL	2.12	3.38	5.77	10.06	1.81	3.93	33.3	637.29	0	0	0	0	0	9395.25	0.063729	0	0	0	0	0	0.939525
Coll	USOS	2.26	4.41	6.99	12.39	1.15	3.5	24.42	745.79	0	0	0	0	1506.23	8258.16	0.074579	0	0	0	0	0.150623	0.825816
Gau	USOS	1.94	1.14	1.77	1.35	0.46	0.6	1.56	988.76	0	0	825.19	0	0	0	0.098876	0	0	0.082519	0	0	0
Bros	BIO	2.05	43	24.14	68.72	3.39	6.54	23.05	2219.25	8391.33	7397.16	0	0	0	20902.37	0.221925	0.839133	0.739716	0	0	0	2.090237
Clot	USOS	1.57	1.95	1.54	3.51	0.82	2.65	11.14	2425.53	0	0	0	0	0	0	0.242553	0	0	0	0	0	0
Nou	USOS	1.5	1.23	0.87	2.08	3.44	8.02	21.26	2665.88	0	0	0	0	0	0	0.266588	0	0	0	0	0	0
Tpa	PATRIMONIAL	NA	NA	NA	2.88	1.65	2.45	9.37	4482.73	0	0	0	0	0	0	0.448273	0	0	0	0	0	0
Lab	USOS	2.35	1.75	6.39	8.52	30.11	140.84	118.06	4854.65	469.76	0	0	0	16388.26	NA	0.485465	0.046976	0	0	0	1.638826	0
Pei	PATRIMONIAL	2.06	2.71	7.2	7.25	1.47	2.04	11.75	6997.5	10116.63	0	0	0	0	19800.27	0.69975	1.011663	0	0	0	0	1.980027
Glo	BIO	NA	3	0	3	0.79	1.97	12.56	8711.13	470.15	0	0	0	0	0	0.871113	0.047015	0	0	0	0	0
Ped	PATRIMONIAL	1.57	2.52	3.71	7.14	2.73	4.94	13.41	9550.69	1984.64	1298.11	17.28	0	0	0	0.955069	0.198464	0.129811	0.001728	0	0	0
Tri	USOS	1.79	2.94	2.26	5.27	3.97	14.03	79.34	12603.64	2698.43	6878.58	0	0	0	0	1.260364	0.269843	0.687858	0	0	0	0
Heb	USOS	1.63	1.39	1.58	2.86	3.14	29.22	189.72	15147.62	1974.8	31883.49	0	2144.6	0	0	1.514762	0.19748	3.188349	0	0.21446	0	0
Cer	PATRIMONIAL	NA	8.2	1.19	9.39	7.385	13.53	23.985	15631.48	480.43	0	0	0	0	0	1.563148	0.048043	0	0	0	0	0
Nord	USOS	1.82	2.67	1.92	4.58	1.59	4.43	11.25	17185.34	1189.08	886.32	0	0	0	0	1.718534	0.118908	0.088632	0	0	0	0
Mar	PATRIMONIAL	1.58	10.44	16.27	30.11	7.73	41.61	174.76	19374.83	1031.83	26.57	280.28	0	2939.3	1942.1	1.937483	0.103183	0.002657	0.028028	0	0.29393	0.19421
Dia	USOS	1.45	4.42	1.62	6.04	5.32	13.95	30.03	25554.18	698.58	3136.68	0	1818.06	0	233.96	2.555418	0.069858	0.313668	0	0.181806	0	0.023396
Ciu	PATRIMONIAL	1.48	12.42	7.66	21.84	0.16	1.03	8.36	48727.43	0	0	2349.61	0	0	0	4.872743	0	0	0.234961	0	0	0
Bes	BIO	1.94	32.63	1.31	33.76	18.92	34.15	64.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heu	PATRIMONIAL	2.52	0.95	5.59	6.71	28.64	129.23	99.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mat	USOS	1.64	2.52	2.58	5.52	7.33	19.96	87.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rob	PATRIMONIAL	1.7	0.2	0.29	0.49	0.34	0.48	1.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
