"","Estimate","Est.Error","Q2.5","Q97.5"
"C3beta_Intercept",-3.02668593516845,0.0681838485647587,-3.15208234689856,-2.89434754178075
"Pbeta_Intercept",-4.31415980028232,0.0690958545001684,-4.44652569646278,-4.17605393177638
"Herbbeta_Intercept",-1.67296046855665,0.0684714766065254,-1.80037103931445,-1.53991948768442
"Vivbeta_Intercept",-5.92729834808686,0.06992575080831,-6.05358929636346,-5.7842920333617
"abundance_Intercept",2.15223051403213,0.335687611782731,1.48038861468849,2.78113308876729
"hu_abundance_Intercept",1.53309074676366,0.176307395742465,1.2204863778772,1.90348713080342
"C3beta_z_Area",0.0401206913381943,0.0321722568249174,-0.0177742013588143,0.102196105615846
"C3beta_TypePATRIMONIAL",1.01735643150786,0.0776732749750508,0.860779171102272,1.16580271119166
"C3beta_TypeUSOS",1.4121847344816,0.0789720607114689,1.25581098242197,1.56265380407756
"Pbeta_z_Area",0.116901779027194,0.0320769976137683,0.0520070928199209,0.178385941365363
"Pbeta_TypePATRIMONIAL",0.25745444523769,0.0701008360448828,0.118647435679593,0.394803023935365
"Pbeta_TypeUSOS",0.160352480217702,0.0760323206706877,0.0115600937467622,0.30760325164761
"Herbbeta_z_Area",0.0360935557886848,0.0329338268053316,-0.0246164789643987,0.101147130730193
"Herbbeta_TypePATRIMONIAL",-0.0545701828293717,0.0756167907883931,-0.196751960067707,0.0897955087173048
"Herbbeta_TypeUSOS",0.256374440468811,0.0829716090215202,0.0952106917840995,0.412299894020342
"Vivbeta_z_Area",0.0667150526508123,0.0263308118402356,0.0136662602689659,0.118444067887741
"Vivbeta_TypePATRIMONIAL",0.254207635520529,0.0726667278378221,0.117109137452796,0.402444363716854
"Vivbeta_TypeUSOS",0.168139906039691,0.0719187044992748,0.0308494878713418,0.299926091543333
"abundance_z_Area",-0.0385596854937708,0.108124946467118,-0.250157960631661,0.169128992255299
"abundance_z_Conn",0.0449103488193667,0.105342017959742,-0.168876660783277,0.250477128601381
"abundance_TypePATRIMONIAL",0.118662222770143,0.271952726263738,-0.393101508462814,0.674911681337981
"abundance_TypeUSOS",-0.437474825560646,0.332248909911047,-1.08162611785911,0.205298112283495
"abundance_zC3_logit",0.0519135181715685,0.140281733012639,-0.224664612621323,0.333318264393625
"abundance_zP_logit",0.124703920451303,0.14916151880737,-0.188250096379919,0.408899994762012
"abundance_zHerb_logit",0.113728888639284,0.148902312535093,-0.160370879432759,0.417214615303558
"abundance_zViv_logit",0.139539666210224,0.122946202448526,-0.103937463982056,0.375117862834565
"hu_abundance_z_Area",0.0679570251628501,0.0786382814313629,-0.0837981718303149,0.231156461569203
"hu_abundance_z_Conn",-0.186265385243808,0.0856283067038769,-0.362639415882593,-0.0182436224822987
"hu_abundance_TypePATRIMONIAL",0.743026217169435,0.222153486023647,0.316945904586091,1.15992887421451
"hu_abundance_TypeUSOS",0.552667760456673,0.259874249275082,0.0317883819286128,1.03589381822731
"hu_abundance_zC3_logit",0.314514434017102,0.109208600307581,0.0996104024794379,0.52870232054473
"hu_abundance_zP_logit",-0.237056122096687,0.116617982289654,-0.472486115660984,-0.0139032217687238
"hu_abundance_zHerb_logit",0.217510657425202,0.10153088806726,0.0211002777961926,0.425454207465636
"hu_abundance_zViv_logit",-0.0112031251813964,0.0983571036661157,-0.1960617922294,0.184708176207599
