Mediator	Parameter	Estimate	SE	L95	U95	Estimate_bt	SE_approx	CI95_low	CI95_high
C3beta	C3beta_Intercept	-3.023492302	0.069188731	-3.159956125	-2.888814347	0.046375782	0.00306167	0.040700767	0.052709288
C3beta	C3beta_TypePATRIMONIAL	1.015199865	0.077408662	0.86385924	1.16752614	0.734036537	0.015109665	0.703466329	0.762697563
C3beta	C3beta_TypeUSOS	1.410251361	0.08054751	1.253058143	1.568867442	0.803805587	0.012703252	0.777828791	0.827622093
C3beta	C3beta_z_Area	0.038420983	0.032050685	-0.025180831	0.100370642	0.509604064	0.00800903	0.493705125	0.525071616
Herbbeta	Herbbeta_Intercept	-1.672630145	0.072319513	-1.81493137	-1.531174637	0.158073827	0.009626439	0.140043181	0.177821887
Herbbeta	Herbbeta_TypePATRIMONIAL	-0.053380366	0.080318931	-0.21093894	0.10480224	0.486658076	0.020054678	0.447459936	0.526176605
Herbbeta	Herbbeta_TypeUSOS	0.254341679	0.085716296	0.086741889	0.422856338	0.563244846	0.021073934	0.521671886	0.604166544
Herbbeta	Herbbeta_z_Area	0.035445483	0.035174045	-0.033777739	0.103942432	0.508860443	0.008789844	0.491556368	0.525962238
Pbeta	Pbeta_Intercept	-4.314196919	0.067175587	-4.445817003	-4.182760045	0.013200699	0.000875666	0.01159158	0.015027083
Pbeta	Pbeta_TypePATRIMONIAL	0.258057649	0.066981723	0.127090553	0.389418405	0.564158759	0.01646386	0.531729941	0.596142684
Pbeta	Pbeta_TypeUSOS	0.162026375	0.073593135	0.018552005	0.307174883	0.540418209	0.018269976	0.504637868	0.576195533
Pbeta	Pbeta_z_Area	0.115872446	0.031696649	0.052610723	0.176844093	0.528935743	0.007896969	0.513149648	0.544096162
Vivbeta	Vivbeta_Intercept	-5.924652856	0.071171526	-6.064964439	-5.785789228	0.002665611	0.000189367	0.002317458	0.003061484
Vivbeta	Vivbeta_TypePATRIMONIAL	0.252822667	0.072301512	0.111466833	0.39497135	0.562871133	0.017782208	0.527837891	0.597478876
Vivbeta	Vivbeta_TypeUSOS	0.16687005	0.073556725	0.023645917	0.312347902	0.541620977	0.0182537	0.505911204	0.577458254
Vivbeta	Vivbeta_z_Area	0.064756959	0.026791719	0.011641304	0.116690599	0.516183585	0.006690514	0.502910293	0.529139592
abundance	abundance_Intercept	2.147266359	0.319526368	1.500207683	2.735046937	8.561422519	2.782387924	4.482619939	15.41046674
abundance	abundance_TypePATRIMONIAL	0.131852585	0.273395434	-0.403682402	0.669048358	1.140940115	0.31582821	0.667856198	1.952378471
abundance	abundance_TypeUSOS	-0.436905755	0.33144556	-1.087192724	0.21457993	0.646032314	0.218066616	0.337161672	1.239341178
abundance	abundance_zC3_logit	0.050849145	0.142988177	-0.229714418	0.331862904	1.052164157	0.150960222	0.79476054	1.393561784
abundance	abundance_zHerb_logit	0.118057557	0.148354723	-0.172592583	0.409931164	1.125308879	0.167557947	0.841480379	1.506714065
abundance	abundance_zP_logit	0.130674726	0.151865615	-0.167297287	0.428325657	1.13959704	0.173731613	0.845948085	1.534685781
abundance	abundance_zViv_logit	0.135897811	0.123783601	-0.106476857	0.378929418	1.145564824	0.142164541	0.898995853	1.460719931
abundance	abundance_z_Area	-0.032125111	0.113765801	-0.255500478	0.190308455	0.968385419	0.110406944	0.774528767	1.209622654
abundance	abundance_z_Conn	0.046892444	0.101404517	-0.151897953	0.24657202	1.048009283	0.1064551	0.859075943	1.279631339
hu_abundance	hu_abundance_Intercept	1.537696676	0.180476276	1.190310556	1.89820473	0.82312964	0.026292891	0.766796602	0.869688202
hu_abundance	hu_abundance_TypePATRIMONIAL	0.740579289	0.227845715	0.29366928	1.188268813	0.677122518	0.049679194	0.572894195	0.7664313
hu_abundance	hu_abundance_TypeUSOS	0.556150716	0.262163604	0.041321307	1.067702462	0.635561423	0.060453219	0.510328857	0.744159742
hu_abundance	hu_abundance_zC3_logit	0.314885029	0.109082266	0.099931839	0.528519808	0.578077191	0.02658117	0.52496219	0.629137815
hu_abundance	hu_abundance_zHerb_logit	0.216852969	0.103886219	0.01949282	0.426967657	0.554001787	0.025646348	0.504873051	0.605149341
hu_abundance	hu_abundance_zP_logit	-0.233481317	0.117684212	-0.465280131	-0.003395926	0.441893398	0.028991608	0.38573398	0.499151019
hu_abundance	hu_abundance_zViv_logit	-0.004944825	0.095746625	-0.186096586	0.18928286	0.498763796	0.023918241	0.453609659	0.547179936
hu_abundance	hu_abundance_z_Area	0.06938138	0.083982307	-0.092043238	0.238521657	0.51733839	0.020958058	0.477005422	0.559349303
hu_abundance	hu_abundance_z_Conn	-0.186441998	0.081885964	-0.344164416	-0.022601481	0.45352405	0.020283577	0.414798247	0.49434987
