"Mediator";"Parameter";"Estimate";"SE";"L95";"U95";"Estimate_bt";"SE_approx";"CI95_low";"CI95_high"
"C3beta";"C3beta_Intercept";-3.02250394915556;0.0890190310595737;-3.198069145;-2.8481605725;0.0464195118873818;0.00394422618029663;0.0392384489754713;0.0547764774828275
"C3beta";"C3beta_TypePATRIMONIAL";1.01474707973944;0.0996355393254595;0.8194264055;1.2087804725;0.73394813214182;0.0194501308953315;0.69411456835266;0.770083096580489
"C3beta";"C3beta_TypeUSOS";1.409642660575;0.104171807800152;1.205931005;1.61513878;0.803709575708206;0.0164357721259958;0.769578195540976;0.834123616588197
"C3beta";"C3beta_z_Area";0.0379751165482341;0.0414310062791687;-0.044282117025;0.11803745825;0.509492638379163;0.0103525389888197;0.488931279411255;0.529475149790884
"Herbbeta";"Herbbeta_Intercept";-1.67136351679722;0.093208185367567;-1.85553479;-1.48909953;0.158242471318578;0.0124191001348664;0.135224357973685;0.184056921506645
"Herbbeta";"Herbbeta_TypePATRIMONIAL";-0.0539439504023184;0.103353470786525;-0.256633338;0.14829709025;0.486517281743621;0.0257966706486493;0.436191487637416;0.537006476788386
"Herbbeta";"Herbbeta_TypeUSOS";0.253948783816329;0.11062835742915;0.038244786575;0.47153680975;0.563148191334782;0.0271895383389146;0.509560031412912;0.61574743408853
"Herbbeta";"Herbbeta_z_Area";0.0351869786727848;0.0453586857405893;-0.053464207475;0.12363051775;0.508795837159222;0.0113342207894845;0.486637131038925;0.530868322197729
"Pbeta";"Pbeta_Intercept";-4.31370105209167;0.0862885513493461;-4.484750955;-4.1445356525;0.0132071596088235;0.00112586218372147;0.0111538838997275;0.0156034671676638
"Pbeta";"Pbeta_TypePATRIMONIAL";0.258441184007099;0.0858233561007809;0.090621532575;0.4275323475;0.564253061769383;0.0210892189249742;0.522639891536918;0.605284262111377
"Pbeta";"Pbeta_TypeUSOS";0.162051351381168;0.0944751072299856;-0.0212070869;0.34754575925;0.540424412293392;0.0234472962444648;0.494698426967868;0.586022305684072
"Pbeta";"Pbeta_z_Area";0.114897087380436;0.0408262990519522;0.0331469986;0.19311811425;0.528692713597351;0.010171564797571;0.508285990996129;0.548130038887105
"Vivbeta";"Vivbeta_Intercept";-5.92276593668056;0.0923310139946689;-6.103265805;-5.741811235;0.00267063197144718;0.000246267598035987;0.00223056834051633;0.00319868641696846
"Vivbeta";"Vivbeta_TypePATRIMONIAL";0.252834210403444;0.0938773711244988;0.068165241275;0.435914286;0.562873973287367;0.0230820869756376;0.517034714845786;0.60728505743852
"Vivbeta";"Vivbeta_TypeUSOS";0.167786189130324;0.0950825507217224;-0.0164686231;0.3539361015;0.541848416216486;0.0235867263811033;0.495882937275531;0.587571746735962
"Vivbeta";"Vivbeta_z_Area";0.0644244052388689;0.0344642646732361;-0.0039606638125;0.12996287825;0.516100532917723;0.00860628289318044;0.499009835341256;0.532445065038357
"abundance";"abundance_Intercept";1.8395279490075;0.218293783996305;1.4173855375;2.2550078675;6.2935666753164;1.3847836399638;4.12631822115388;9.53536832936198
"abundance";"abundance_TypePATRIMONIAL";-0.102704505282707;0.208266259861367;-0.51035793275;0.30427228525;0.902393586625955;0.189299717722445;0.600280680240292;1.35563812610731
"abundance";"abundance_TypeUSOS";-0.295040245787728;0.259908221113007;-0.80261033;0.21795275575;0.744501623808643;0.195688047625083;0.448157596735151;1.24352831666858
"abundance";"abundance_zC3_logit";-0.242208756251469;0.101680253929418;-0.4429918535;-0.04606810865;0.78489230927187;0.0799456413169353;0.642112438035465;0.954976917787045
"abundance";"abundance_zHerb_logit";-0.160445059316343;0.0922150438739509;-0.34126248525;0.021901770775;0.85176461881693;0.0786568791581953;0.71087229022443;1.02214337518737
"abundance";"abundance_zP_logit";-0.0166456393134039;0.0930323278040445;-0.20134176425;0.16482271975;0.983492133840723;0.0916286037213908;0.817632946086915;1.17918405413651
"abundance";"abundance_zViv_logit";-0.000376874260230672;0.0974532007931473;-0.19139241925;0.1919359955;0.999623196747953;0.097570749450998;0.825808461421495;1.21159296708109
"abundance";"abundance_z_Area";0.0785501380922573;0.0715994584716425;-0.0616786023;0.21948376;1.08171758905895;0.0775165852407391;0.940185011537672;1.24543362194947
"abundance";"abundance_z_Conn";0.247755140566966;0.0730340796295335;0.10360366625;0.389963058;1.28114619305413;0.0936505362647994;1.10916076994304;1.47692623226597
"hu_abundance";"hu_abundance_Intercept";0.713485115535675;0.186118085152264;0.35385514025;1.079311735;0.671170785108314;0.0409995744456397;0.587552127160882;0.746363713480588
"hu_abundance";"hu_abundance_TypePATRIMONIAL";-0.562148297740849;0.222629200806772;-1.0050196875;-0.128316847;0.363050530935377;0.0513175793053853;0.267955636331027;0.467964731819188
"hu_abundance";"hu_abundance_TypeUSOS";0.171627368606127;0.256457080961323;-0.3262941895;0.672688908;0.542801829635578;0.0633054398674088;0.419142576184031;0.662104988970916
"hu_abundance";"hu_abundance_zC3_logit";0.296517344196491;0.0991673114761446;0.10316938475;0.49231692325;0.573590932734766;0.0242362059471328;0.525769492868776;0.620652088163836
"hu_abundance";"hu_abundance_zHerb_logit";0.172865436328769;0.0942031032148101;-0.00875404246;0.36078909;0.543109062110382;0.023358822793876;0.497811503360951;0.58923143706624
"hu_abundance";"hu_abundance_zP_logit";-0.0620143949908034;0.101213176319448;-0.2610837435;0.13502836675;0.484501367968082;0.0252574859858455;0.43509731872642;0.533705894900044
"hu_abundance";"hu_abundance_zViv_logit";0.285115458817994;0.0970318205538185;0.09961165495;0.48156636375;0.57079989807836;0.0237540566837971;0.524882342589912;0.618117680478306
"hu_abundance";"hu_abundance_z_Area";-0.275030139572031;0.0834279795028521;-0.43988151175;-0.11296897925;0.431672622324044;0.020456301132685;0.391769202993727;0.471787752509993
"hu_abundance";"hu_abundance_z_Conn";-0.293993007774886;0.0839751883529994;-0.46005404825;-0.131457822;0.427026594899361;0.0205353237797886;0.386973002191761;0.467182790844503
